Time(s),Voltage(V),Current(A),InternalResistance(mOhm)
0.000,3.9768,-0.0008,227.6
0.050,4.0223,-0.0008,
0.051,3.9756,0.0789,
0.151,4.0863,0.1999,
0.251,4.0863,0.1999,
0.351,4.0863,0.1999,
0.451,4.0851,0.1999,
0.551,4.0851,0.1999,
0.651,4.0851,0.1999,
0.751,4.0851,0.1999,
0.851,4.0851,0.1999,
0.951,4.0851,0.1999,
1.051,4.0851,0.1999,
1.151,4.0851,0.1999,
1.251,4.0851,0.1999,
1.351,4.0851,0.1999,
1.451,4.0838,0.1999,
1.551,4.0851,0.1999,
1.651,4.0838,0.1999,
1.751,4.0838,0.1999,
1.851,4.0838,0.2000,
1.951,4.0838,0.1999,
2.051,4.0838,0.1999,
2.151,4.0838,0.1999,
2.251,4.0838,0.1999,
2.351,4.0838,0.1999,
2.451,4.0838,0.1999,
2.551,4.0838,0.1999,
2.651,4.0838,0.1999,
2.751,4.0838,0.1999,
2.851,4.0838,0.1999,
2.951,4.0838,0.1999,
3.051,4.0838,0.1999,
3.151,4.0838,0.1999,
3.251,4.0838,0.1999,
3.351,4.0826,0.1999,
3.451,4.0826,0.2000,
3.551,4.0826,0.1999,
3.651,4.0826,0.1999,
3.751,4.0838,0.1999,
3.851,4.0826,0.1999,
3.951,4.0826,0.1999,
4.051,4.0826,0.1999,
4.151,4.0826,0.2000,
4.251,4.0826,0.2000,
4.351,4.0826,0.1999,
4.451,4.0826,0.1999,
4.551,4.0826,0.1999,
4.651,4.0826,0.1999,
4.751,4.0826,0.1999,
4.851,4.0826,0.1999,
4.951,4.0826,0.1999,
5.051,4.0826,0.2000,
5.151,4.0826,0.1999,
5.251,4.0826,0.2000,
5.351,4.0826,0.1999,
5.451,4.0826,0.1999,
5.551,4.0826,0.1999,
5.651,4.0826,0.1999,
5.751,4.0826,0.1999,
5.851,4.0826,0.1999,
5.951,4.0826,0.1999,
6.051,4.0814,0.1999,
6.151,4.0814,0.1999,
6.251,4.0814,0.2000,
6.351,4.0814,0.1999,
6.451,4.0814,0.1999,
