Time(s),Voltage(V),Current(A),InternalResistance(mOhm)
0.000,3.9836,0.0000,264.2
0.051,3.9836,0.0792,
0.151,4.0967,0.1999,
0.251,4.0967,0.1999,
0.352,4.0967,0.2000,
0.452,4.0967,0.2000,
0.552,4.0954,0.2000,
0.652,4.0967,0.1999,
0.752,4.0954,0.2000,
0.852,4.0954,0.1999,
0.952,4.0954,0.2000,
1.052,4.0954,0.2000,
1.152,4.0954,0.2000,
1.252,4.0954,0.2000,
1.352,4.0942,0.2000,
1.452,4.0954,0.2000,
1.552,4.0942,0.2000,
1.652,4.0942,0.2000,
1.752,4.0942,0.2000,
1.852,4.0942,0.2000,
1.952,4.0942,0.1999,
2.052,4.0942,0.2000,
2.152,4.0942,0.1999,
2.252,4.0942,0.2000,
2.352,4.0942,0.2000,
2.452,4.0942,0.2000,
2.552,4.0942,0.2000,
2.652,4.0942,0.2000,
2.752,4.0942,0.1999,
2.852,4.0930,0.2000,
2.952,4.0930,0.2000,
3.052,4.0942,0.2000,
3.152,4.0942,0.1999,
3.252,4.0930,0.1999,
3.352,4.0942,0.1999,
3.452,4.0930,0.1999,
3.552,4.0930,0.2000,
3.652,4.0930,0.1999,
3.752,4.0930,0.1999,
3.852,4.0930,0.2000,
3.952,4.0930,0.1999,
4.052,4.0930,0.2000,
4.152,4.0930,0.1999,
4.252,4.0930,0.2000,
4.352,4.0930,0.2000,
4.452,4.0930,0.2000,
4.552,4.0930,0.2000,
4.652,4.0930,0.1999,
4.752,4.0930,0.2000,
4.852,4.0930,0.2000,
4.952,4.0917,0.2000,
5.052,4.0917,0.1999,
5.152,4.0917,0.2000,
5.252,4.0917,0.1999,
5.352,4.0917,0.1999,
5.452,4.0917,0.1999,
5.552,4.0917,0.2000,
5.652,4.0917,0.2000,
5.752,4.0917,0.2000,
5.852,4.0917,0.2000,
5.952,4.0917,0.2000,
6.052,4.0917,0.2000,
6.152,4.0917,0.2000,
6.252,4.0917,0.1999,
6.352,4.0917,0.1999,
6.452,4.0917,0.2000,
6.552,4.0917,0.2000,
6.652,4.0917,0.2000,
6.752,4.0917,0.2000,
6.852,4.0917,0.1999,
6.952,4.0905,0.1999,
7.052,4.0905,0.2000,
7.152,4.0905,0.1999,
7.252,4.0917,0.1999,
7.352,4.0905,0.1999,
7.452,4.0905,0.1999,
7.552,4.0905,0.1999,
7.652,4.0905,0.1999,
